player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Crazy Mike",WoOX8qwr89,2025-01-21T04:58:18.475Z,2025-01-21T05:06:15.943Z,5000,0,0,-5000
"Crazy Mike",WoOX8qwr89,2025-01-21T04:55:23.743Z,2025-01-21T04:57:11.063Z,5000,0,0,-5000
"Crazy Mike",WoOX8qwr89,2025-01-21T04:41:58.317Z,2025-01-21T04:52:43.197Z,5000,0,0,-5000
"Ayush",FZR64VyIfx,2025-01-21T04:31:21.218Z,2025-01-21T04:57:11.058Z,20000,0,0,-20000
"Hiro",pXfXUBvRh5,2025-01-21T04:07:22.533Z,,50000,,96186,46186
"Ayush",FZR64VyIfx,2025-01-21T04:07:22.530Z,2025-01-21T04:28:35.836Z,10000,0,0,-10000
"XJ",sU2cT1XIPx,2025-01-21T03:21:35.229Z,2025-01-21T04:06:39.807Z,15000,45376,0,30376
"Hiro",pXfXUBvRh5,2025-01-21T03:14:34.153Z,2025-01-21T04:06:39.804Z,40000,0,0,-40000
"YN",efwgqIsBSH,2025-01-21T02:50:46.589Z,2025-01-21T05:11:21.713Z,40000,69974,0,29974
"arjun",VnSHAF0DEU,2025-01-21T02:34:12.947Z,2025-01-21T02:36:20.876Z,10000,10000,0,0
"Ahmed",7a1arINwD3,2025-01-21T02:28:14.307Z,,30000,,145127,115127
"Hiro",pXfXUBvRh5,2025-01-21T02:24:51.781Z,2025-01-21T03:11:17.920Z,40000,0,0,-40000
"Hiro",pXfXUBvRh5,2025-01-21T02:21:09.347Z,2025-01-21T02:23:17.721Z,20000,0,0,-20000
"XJ",sU2cT1XIPx,2025-01-21T02:15:29.303Z,2025-01-21T03:19:29.442Z,15000,0,0,-15000
"xj",aOIXJ8uLdm,2025-01-21T00:16:59.529Z,2025-01-21T02:14:08.680Z,20000,29008,0,9008
"Ahmed",7a1arINwD3,2025-01-21T00:01:26.680Z,2025-01-21T02:14:58.629Z,50000,72616,0,22616
"Ahmed",7a1arINwD3,2025-01-20T23:35:51.982Z,2025-01-21T00:00:11.691Z,50000,0,0,-50000
"Crazy Mike",WoOX8qwr89,2025-01-20T22:55:58.271Z,2025-01-21T04:39:52.505Z,5000,0,0,-5000
"Ahmed",7a1arINwD3,2025-01-20T22:47:20.462Z,2025-01-20T23:34:10.457Z,45000,0,0,-45000
"arjun",VnSHAF0DEU,2025-01-20T22:14:18.696Z,2025-01-21T01:06:12.172Z,31000,31409,0,409
"Ahmed",7a1arINwD3,2025-01-20T22:12:44.576Z,2025-01-20T22:45:46.756Z,30000,0,0,-30000
"ahh",DMKEbvloN4,2025-01-20T22:06:33.064Z,2025-01-21T02:15:02.278Z,42000,48144,0,6144
"Ahmed",7a1arINwD3,2025-01-20T21:53:47.913Z,2025-01-20T22:11:15.971Z,15000,0,0,-15000
"garrett",qSB5qNNKrL,2025-01-20T21:50:02.584Z,2025-01-21T05:11:13.090Z,20000,38913,0,18913
"saswoot",sF0-cGGFKy,2025-01-20T21:40:03.849Z,2025-01-21T05:07:03.099Z,20000,59962,0,39962
"YN",efwgqIsBSH,2025-01-20T21:28:53.747Z,2025-01-21T01:32:34.922Z,20000,60934,0,40934
"garrett",qSB5qNNKrL,2025-01-20T21:28:53.741Z,2025-01-20T21:49:08.204Z,10000,0,0,-10000
"Dode",cAPB5rnx1I,2025-01-20T21:27:27.033Z,2025-01-20T22:06:33.060Z,10000,25786,0,15786
"fmc",Q69iB8mdzr,2025-01-20T21:25:03.254Z,2025-01-20T22:54:52.625Z,20000,0,0,-20000
"saswoot",sF0-cGGFKy,2025-01-20T21:25:03.257Z,2025-01-20T21:38:00.442Z,10000,0,0,-10000
"Ahmed",7a1arINwD3,2025-01-20T21:25:03.261Z,2025-01-20T21:51:43.065Z,10000,0,0,-10000
"Albert",Qk1vwl3LJ-,2025-01-20T21:25:03.251Z,2025-01-21T04:06:39.801Z,60000,0,0,-60000
"arjun",VnSHAF0DEU,2025-01-20T21:25:03.241Z,2025-01-20T22:11:15.968Z,10000,0,0,-10000
"HY",RzZqRjTje6,2025-01-20T21:25:03.246Z,,20000,,69565,49565
